,Date,Time,Username,Message,Sentiment,Time from Start
3179,2022-12-21,16:14:24,MichalHahh,Heyy,5,5
3127,2022-12-21,16:14:32,zwi0pz,hii bro,7,5
498,2022-12-21,16:14:39,princetobo3,were talking about retrotapes,5,5
5293,2022-12-21,16:14:40,princetobo3,:D,8,5
3163,2022-12-21,16:14:43,jameslinkk,hi,7,5
3324,2022-12-21,16:14:45,jameslinkk,guyss,8,5
3419,2022-12-21,16:14:47,jameslinkk,good luck,8,5
296,2022-12-21,16:14:48,jameslinkk,xeri,7,5
3535,2022-12-21,16:14:53,radikalnyyy,gl gl,8,6
3230,2022-12-21,16:14:59,iwannakissyourneck,hello guyss,7,6
3513,2022-12-21,16:15:01,zwi0pz,glgl,7,6
3257,2022-12-21,16:15:07,randysi,hello,7,6
3506,2022-12-21,16:15:07,iwannakissyourneck,gll,7,6
665,2022-12-21,16:15:11,randysi,today max win,7,6
4262,2022-12-21,16:15:13,randysi,come onn,5,6
446,2022-12-21,16:15:14,princetobo3,Why did you move to malta?,7,6
2228,2022-12-21,16:15:21,zwi0pz,NewRecord NewRecord,8,6
3164,2022-12-21,16:15:22,yonassi,hi,7,6
3518,2022-12-21,16:15:26,yonassi,glg gl,8,6
1739,2022-12-21,16:15:31,swaampyyy,peepoHey,5,6
507,2022-12-21,16:15:34,Pata1G,WeirdChamping,5,6
505,2022-12-21,16:15:49,jameslinkk,welcome,8,6
4459,2022-12-21,16:15:50,jameslinkk,buddy,7,6
2798,2022-12-21,16:16:05,zwi0pz,it's more beautiful today,7,7
5161,2022-12-21,16:16:21,michko,!xeri @niman999,5,7
3495,2022-12-21,16:16:36,leepriestlegend,gn everyone,8,7
43,2022-12-21,16:16:43,princetobo3,your gf is from slovakia aswell?,5,7
418,2022-12-21,16:16:57,peaceandlove444,wishing you a max max win today,8,8
3240,2022-12-21,16:17:02,leroooy26,hello all,7,8
1820,2022-12-21,16:17:12,Pata1G,PagMan,8,8
2302,2022-12-21,16:17:30,zwi0pz,more different,5,8
3258,2022-12-21,16:17:38,bigwinmanu,Hello,7,8
463,2022-12-21,16:17:42,Patresss33,Where is sweezy,8,8
2431,2022-12-21,16:17:43,Pata1G,matoPiska matoPiska matoPiska matoPiska matoPiska matoPiska matoPiska matoPiska,8,8
2445,2022-12-21,16:17:48,Davsick,matoPiska,8,8
2118,2022-12-21,16:17:57,michko,no i meant that i will wake up at 2,7,9
2867,2022-12-21,16:18:00,michko,if you need anything,7,9
3259,2022-12-21,16:18:05,denomslayert,hello,7,9
2569,2022-12-21,16:18:10,denomslayert,letsgo,8,9
2934,2022-12-21,16:18:16,denomslayert,i hope luck day,7,9
1661,2022-12-21,16:18:18,denomslayert,plsss,5,9
4697,2022-12-21,16:18:18,peaceandlove444,also brother sorry but i have just responded on your twitter dm @[Mención Directa],8,9
126,2022-12-21,16:18:19,Rozkii,yo hello,7,9
444,2022-12-21,16:18:20,princetobo3,Why dont you stream in slovak then pasakSUS,5,9
3629,2022-12-21,16:18:25,zwi0pz,gatess,7,9
3165,2022-12-21,16:18:28,seksekeri,hi,8,9
2385,2022-12-21,16:18:29,Ackooo1337,mega,7,9
4462,2022-12-21,16:18:30,seksekeri,btw,5,9
3174,2022-12-21,16:18:32,jackieburkhartttt,heyyy,7,9
3569,2022-12-21,16:18:33,TetaUwU,Give me code,5,9
297,2022-12-21,16:18:36,TetaUwU,Xeri,7,9
3125,2022-12-21,16:18:36,chrizz_tophernolan,hiii,7,9
3064,2022-12-21,16:18:38,strix_daniel,how are you doing today?,6,9
4982,2022-12-21,16:18:50,michko,@princetobo3 bigger audience potencial,7,9
3686,2022-12-21,16:18:52,Strangechol,fuck girls,1,10
2463,2022-12-21,16:18:54,Strangechol,Madge,2,10
4980,2022-12-21,16:18:56,princetobo3,@princetobo3 sure pasakSUS,5,10
975,2022-12-21,16:18:58,TetaUwU,Shut up,3,10
3496,2022-12-21,16:18:59,mechull11,gn everybodyy,7,10
138,2022-12-21,16:19:00,chrizz_tophernolan,yesterday a gamdom's streamer got max win on Muertos megaways,7,10
481,2022-12-21,16:19:04,mechull11,whats up,6,10
2454,2022-12-21,16:19:05,mechull11,mate,6,10
2285,2022-12-21,16:19:17,randysi,muertos,3,10
3215,2022-12-21,16:19:17,pregisek,hello xeri,7,10
3916,2022-12-21,16:19:22,pregisek,fixed shedule?,5,10
2709,2022-12-21,16:19:23,randysi,just scam,2,10
3239,2022-12-21,16:19:28,dauphinn7,hello boys hello xeri,7,10
3662,2022-12-21,16:19:28,randysi,gamble 6 7 spins,4,10
1527,2022-12-21,16:19:31,zwi0pz,Pog,8,10
2175,2022-12-21,16:19:34,jameslinkk,nice slot,8,10
39,2022-12-21,16:19:36,jameslinkk,zeri,5,10
298,2022-12-21,16:19:37,jameslinkk,xeri,5,10
3234,2022-12-21,16:19:38,Strangechol,hello dauphin,7,10
3166,2022-12-21,16:19:50,jacksonjej,hi,6,10
2815,2022-12-21,16:19:54,karamokabamba,it has a lot of potential,7,11
4765,2022-12-21,16:19:55,karamokabamba,actually,8,11
3420,2022-12-21,16:19:57,jacksonjej,good luck,7,11
967,2022-12-21,16:19:59,jacksonjej,sir,4,11
3150,2022-12-21,16:20:04,chrizz_tophernolan,hi  @dauphinn7 nice badges,7,11
2932,2022-12-21,16:20:06,karamokabamba,i hope you get,8,11
2423,2022-12-21,16:20:08,karamokabamba,max win,9,11
356,2022-12-21,16:20:09,zwi0pz,xd,10,11
1834,2022-12-21,16:20:11,karamokabamba,or smth :D,5,11
5073,2022-12-21,16:20:12,randysi,@karamokabamba yes but scam game,2,11
3303,2022-12-21,16:20:13,randysi,hahahahah,8,11
3434,2022-12-21,16:20:17,zwi0pz,good,5,11
5074,2022-12-21,16:20:22,jameslinkk,@karamokabamba come onnn,7,11
3177,2022-12-21,16:20:23,wampir81,heyy helo,7,11
2568,2022-12-21,16:20:24,jameslinkk,letsgoo,8,11
1528,2022-12-21,16:20:29,radikalnyyy,Pog,9,11
4978,2022-12-21,16:20:29,karamokabamba,@randysi hahaha yeah bro,7,11
1529,2022-12-21,16:20:30,Strangechol,Pog,9,11
4746,2022-12-21,16:20:32,dauphinn7,ahaha bonus,8,11
3664,2022-12-21,16:20:38,Strangechol,gamble,2,11
3999,2022-12-21,16:20:39,Strangechol,EZ,9,11
4801,2022-12-21,16:20:41,dauphinn7,7 is good,7,11
3665,2022-12-21,16:20:42,mechull11,gamble,2,11
3658,2022-12-21,16:20:44,chrizz_tophernolan,gamble only once,9,11
3666,2022-12-21,16:20:45,strix_daniel,gamble,9,11
790,2022-12-21,16:20:46,peaceandlove444,take the risk,7,11
2130,2022-12-21,16:20:46,dauphinn7,No 7 is good,5,11
3667,2022-12-21,16:20:46,MrLesk,gamble,9,11
821,2022-12-21,16:20:47,peaceandlove444,surelly,7,11
3660,2022-12-21,16:20:48,Ackooo1337,gamble it once,9,11
179,2022-12-21,16:20:50,adas334cz,yes,7,11
3659,2022-12-21,16:20:52,chrizz_tophernolan,gamble once,9,12
2617,2022-12-21,16:20:53,mechull11,lets go for,9,12
5352,2022-12-21,16:20:54,mechull11,8,9,12
3661,2022-12-21,16:21:01,Davsick,gamble it all the way,9,12
5285,2022-12-21,16:21:06,fez70s,:D just stay,5,12
4477,2022-12-21,16:21:08,dauphinn7,Bro it will remove your bonus,5,12
5353,2022-12-21,16:21:08,zwi0pz,8,9,12
45,2022-12-21,16:21:10,fez70s,you will be regret,2,12
2026,2022-12-21,16:21:10,dauphinn7,not downgrade it,5,12
4019,2022-12-21,16:21:12,fez70s,eventually,2,12
2819,2022-12-21,16:21:13,Strangechol,it can be 8,9,12
2210,2022-12-21,16:21:17,strix_daniel,nice,9,12
4000,2022-12-21,16:21:18,chrizz_tophernolan,EZ,9,12
1728,2022-12-21,16:21:23,Strangechol,Pepega,2,12
794,2022-12-21,16:21:24,Ackooo1337,take it,9,12
2706,2022-12-21,16:21:29,fez70s,just take it,9,12
3467,2022-12-21,16:21:37,princetobo3,go for more,9,12
2996,2022-12-21,16:21:39,princetobo3,HUH,2,12
3559,2022-12-21,16:21:41,chrizz_tophernolan,GL,9,12
3669,2022-12-21,16:21:41,pregisek,gambe it,9,12
793,2022-12-21,16:21:42,dauphinn7,take it yeah,9,12
2997,2022-12-21,16:21:44,pregisek,HUH,2,12
223,2022-12-21,16:21:52,karamokabamba,yeah take it 8 is good :D,9,13
3260,2022-12-21,16:21:58,stalkin1,hello,5,13
720,2022-12-21,16:22:00,dauphinn7,This is good,9,13
2615,2022-12-21,16:22:02,roseingrotte1,lets go mate,8,13
57,2022-12-21,16:22:17,pregisek,you need wilds,7,13
4778,2022-12-21,16:22:20,pregisek,a lot of them,9,13
428,2022-12-21,16:22:33,pregisek,wilds do increase your multi,9,13
4013,2022-12-21,16:22:36,princetobo3,extra juicy megaways please? PauseChamp,6,13
1035,2022-12-21,16:22:42,roseingrotte1,same symbol for every slot,5,13
2506,2022-12-21,16:22:42,kkashi_bk,LUL,5,13
2851,2022-12-21,16:22:42,peaceandlove444,imagine bro,2,13
1530,2022-12-21,16:22:49,adas334cz,Pog,9,13
4700,2022-12-21,16:22:49,kkashi_bk,ALO XERI,5,13
2622,2022-12-21,16:22:51,dauphinn7,Lets go,8,14
3536,2022-12-21,16:22:51,cyrsez,gl for today bro,9,14
2032,2022-12-21,16:22:52,adas334cz,not bad,6,14
3675,2022-12-21,16:22:52,pregisek,fullscreen with this multi is crazy,9,14
625,2022-12-21,16:22:55,Rozkii,try hot pepper after,6,14
3261,2022-12-21,16:22:55,veritas______,hello,5,14
377,2022-12-21,16:22:57,adas334cz,wtf multi,9,14
1810,2022-12-21,16:22:57,Ackooo1337,paid ?,5,14
5346,2022-12-21,16:22:59,adas334cz,69,9,14
2320,2022-12-21,16:23:01,veritas______,MONKE,9,14
2211,2022-12-21,16:23:08,MichalHahh,nice,9,14
3408,2022-12-21,16:23:11,radikalnyyy,good one,8,14
3428,2022-12-21,16:23:13,zwi0pz,good bonusnotbad,7,14
4506,2022-12-21,16:23:13,roseingrotte1,blue ahh,8,14
4915,2022-12-21,16:23:16,roseingrotte1,1 off,7,14
3209,2022-12-21,16:23:20,Bullis00,helloo gl xeriffer,2,14
251,2022-12-21,16:23:22,chrizz_tophernolan,ye maybe we should gamble until 10 spins,5,14
4695,2022-12-21,16:23:22,cyrsez,always 1 off badly,2,14
628,2022-12-21,16:23:23,radikalnyyy,try forge of gems trust xdd,9,14
87,2022-12-21,16:23:24,dauphinn7,You can have 100 multi in this slot,9,14
221,2022-12-21,16:23:25,karamokabamba,yeah you need more spins,9,14
1833,2022-12-21,16:23:31,karamokabamba,or you need respin i guess,5,14
71,2022-12-21,16:23:47,pregisek,you just need early wilds in the bonus,7,14
837,2022-12-21,16:24:09,llgeoii,sup dude,5,15
3265,2022-12-21,16:24:09,pregisek,hell yeah,9,15
2692,2022-12-21,16:24:11,mechull11,keep it up,9,15
234,2022-12-21,16:24:12,mechull11,yeah,9,15
3271,2022-12-21,16:24:13,xxgypsyking69xx,heey gl for some huge wins,8,15
795,2022-12-21,16:24:20,radikalnyyy,take it,9,15
1289,2022-12-21,16:24:21,pregisek,Prayge,5,15
3541,2022-12-21,16:24:21,llgeoii,gl bro,9,15
4246,2022-12-21,16:24:21,chrizz_tophernolan,cool,7,15
796,2022-12-21,16:24:22,chrizz_tophernolan,Take it,7,15
5308,2022-12-21,16:24:23,stalkin1,:(,4,15
792,2022-12-21,16:24:24,peaceandlove444,take take,7,15
797,2022-12-21,16:24:24,flajvii_,take it,7,15
791,2022-12-21,16:24:26,peaceandlove444,take take take,7,15
798,2022-12-21,16:24:30,roseingrotte1,take it,7,15
2871,2022-12-21,16:24:33,zwi0pz,If you are multi high win a lot,8,15
799,2022-12-21,16:24:38,karamokabamba,take it,7,15
5234,2022-12-21,16:24:40,Ackooo1337,!points,5,15
1320,2022-12-21,16:25:18,mechull11,pray for wilds,5,16
4932,2022-12-21,16:25:41,chrizz_tophernolan,+1 Pog,9,16
1828,2022-12-21,16:25:51,mechull11,otherwise it gonna be end up with casualty,2,17
2507,2022-12-21,16:26:00,zwi0pz,lul,5,17
4481,2022-12-21,16:26:05,dauphinn7,Bro blue first was massive,9,17
4931,2022-12-21,16:26:06,chrizz_tophernolan,+1 Pog Pog,9,17
1531,2022-12-21,16:26:13,Pata1G,Pog,9,17
1327,2022-12-21,16:26:16,pregisek,prafit,5,17
3167,2022-12-21,16:26:19,kubiss1,hi,5,17
4416,2022-12-21,16:26:19,Ackooo1337,can be good,7,17
1383,2022-12-21,16:26:25,pregisek,Pog multi,9,17
1744,2022-12-21,16:26:28,peaceandlove444,pay fat please,9,17
1532,2022-12-21,16:26:29,karamokabamba,Pog,9,17
1194,2022-12-21,16:26:34,zwi0pz,profit ez,9,17
4292,2022-12-21,16:26:34,Pata1G,cmon fuck,2,17
2252,2022-12-21,16:26:36,karamokabamba,need some hitss,7,17
489,2022-12-21,16:26:42,radikalnyyy,what a win again,9,17
1896,2022-12-21,16:26:46,Pata1G,omggggggg,9,17
952,2022-12-21,16:26:47,chrizz_tophernolan,So close,6,17
1821,2022-12-21,16:26:48,Strangechol,PagMan,5,17
949,2022-12-21,16:26:49,Pata1G,so close to 5K,6,17
660,2022-12-21,16:26:57,Ackooo1337,told ya it gonna pay hahaha,8,18
730,2022-12-21,16:26:59,dauphinn7,This could have been massive wtf,6,18
364,2022-12-21,16:27:06,zwi0pz,x140,7,18
1533,2022-12-21,16:27:07,strix_daniel,Pog,8,18
2167,2022-12-21,16:27:21,zwi0pz,nice win,8,18
1105,2022-12-21,16:27:28,roseingrotte1,roseingrotte1 subscribed with Prime. They've subscribed for 8 months currently on a 2 month streak! ,9,18
1132,2022-12-21,16:27:32,radikalnyyy,retro tapes revenge xdd,7,18
4428,2022-12-21,16:27:33,mikailensk,buy duel,5,18
3058,2022-12-21,16:27:45,sandzhaar_lv,How many loans have you taken out already?,3,18
2858,2022-12-21,16:27:49,peaceandlove444,Im feelin Juicy Frutis,6,18
643,2022-12-21,16:27:50,Strangechol,true retro tapes need to connect today,7,18
2022,2022-12-21,16:27:54,Strangechol,not like yesterday,6,19
3522,2022-12-21,16:27:54,roseingrotte1,gl mate <3,5,19
1720,2022-12-21,16:27:56,Strangechol,PepeLaugh,5,19
2630,2022-12-21,16:27:56,zwi0pz,let's win like yesterday,5,19
4970,2022-12-21,16:27:58,michko,@sandzhaar_lv all of them,3,19
2390,2022-12-21,16:28:21,karamokabamba,maybe try to respins version :D,6,19
3865,2022-12-21,16:28:36,michko,fr,5,19
284,2022-12-21,16:28:52,kkashi_bk,Xeri when u stream juyziNotLikeThis,5,20
3072,2022-12-21,16:29:01,Rozkii,hot pepper,5,20
3897,2022-12-21,16:29:01,radikalnyyy,forge of gems fr,6,20
4068,2022-12-21,16:29:03,mikailensk,duel,5,20
855,2022-12-21,16:29:05,zedko99,sugar rush,5,20
4253,2022-12-21,16:29:05,sandzhaar_lv,Complaining about FPS on slots  games XD,5,20
5060,2022-12-21,16:29:06,zwi0pz,@michko how are you sir VoHiYo,7,20
2233,2022-12-21,16:29:08,chrizz_tophernolan,Net Gains,5,20
5032,2022-12-21,16:29:10,lampinko,@[Mención Directa]  das x bl,3,20
2703,2022-12-21,16:29:16,kkashi_bk,juyziExhausted,3,20
4937,2022-12-21,16:29:18,michko,@zwi0pz fine hbu,6,20
269,2022-12-21,16:29:25,TetaUwU,xeriW,5,20
1024,2022-12-21,16:29:28,roseingrotte1,santas great gift,8,20
3226,2022-12-21,16:29:31,TetaUwU,hello kashi,5,20
3930,2022-12-21,16:29:37,SKuLLn1,FeelsBadMan,4,20
2230,2022-12-21,16:29:38,chrizz_tophernolan,Net Gains by Relax Gaming,5,20
4928,2022-12-21,16:29:39,zwi0pz,<3,9,20
2760,2022-12-21,16:29:45,TetaUwU,I�m watching Pepegi,5,20
4403,2022-12-21,16:29:57,peaceandlove444,can you try Juicy Fruits,6,21
2859,2022-12-21,16:29:59,peaceandlove444,im feelin base game,5,21
2900,2022-12-21,16:30:10,TetaUwU,I told the delivery guy to drop the groceries in the hallway btw,4,21
4964,2022-12-21,16:30:22,chrizz_tophernolan,@TetaUwU [Emote Personalizado 7] [Emote Personalizado 7] [Emote Personalizado 7],5,21
4498,2022-12-21,16:30:29,mechull11,bonus is incoming,6,21
4086,2022-12-21,16:30:33,mechull11,dont worry,5,21
123,2022-12-21,16:30:38,ddrxxfante,yo xeriffer,6,21
3235,2022-12-21,16:30:38,TetaUwU,Hello chrizz,5,21
3065,2022-12-21,16:30:45,ddrxxfante,how are you bro,6,21
3421,2022-12-21,16:30:48,ddrxxfante,good luck,8,21
2631,2022-12-21,16:31:19,zwi0pz,let's try another slot,6,22
3207,2022-12-21,16:31:21,tomasisko3,helou,5,22
666,2022-12-21,16:31:31,ddrxxfante,today i saw pissed's max win from retro tapes,8,22
4250,2022-12-21,16:31:39,ddrxxfante,congrulations enjoy 10kx,8,22
5034,2022-12-21,16:31:41,ddrxxfante,@[Mención Directa],5,22
3455,2022-12-21,16:32:31,zwi0pz,go go,6,23
3049,2022-12-21,16:32:37,Rozkii,https://open.spotify.com/playlist/378JdtNUstXQrBOOxuv9DX?si=444f7d27f33a462f,5,23
617,2022-12-21,16:32:43,Rozkii,try this playlist,7,23
4369,2022-12-21,16:32:53,karamokabamba,chill musics,7,24
4694,2022-12-21,16:32:55,karamokabamba,always better,7,24
4401,2022-12-21,16:33:05,ddrxxfante,can you try santas great gifts ?,6,24
4092,2022-12-21,16:33:11,Pata1G,dont clck,3,24
5090,2022-12-21,16:33:18,mechull11,@ddrxxfante it would be,6,24
4618,2022-12-21,16:33:20,mechull11,awesome yeah,7,24
4497,2022-12-21,16:33:32,zwi0pz,bonuss,6,24
4440,2022-12-21,16:33:33,Rozkii,but shuffle it click on random play,6,24
1534,2022-12-21,16:33:48,princetobo3,Pog,8,24
4767,2022-12-21,16:34:03,chrizz_tophernolan,Active the shuffle,5,25
747,2022-12-21,16:34:08,chrizz_tophernolan,the switch,5,25
913,2022-12-21,16:34:13,chrizz_tophernolan,sorry haha,5,25
2255,2022-12-21,16:34:18,Rozkii,nahodne prehravani,7,25
2716,2022-12-21,16:34:22,chrizz_tophernolan,just click,5,25
2879,2022-12-21,16:34:28,ddrxxfante,icecream,5,25
2966,2022-12-21,16:34:28,TetaUwU,HypeHide,5,25
1155,2022-12-21,16:34:29,Rozkii,resttPalec,5,25
4463,2022-12-21,16:34:34,strix_daniel,BRUH xd,3,25
910,2022-12-21,16:34:35,chrizz_tophernolan,Special bet switch,3,25
382,2022-12-21,16:34:37,peaceandlove444,wtf,5,25
1185,2022-12-21,16:34:39,chrizz_tophernolan,put it on,5,25
865,2022-12-21,16:34:48,chrizz_tophernolan,stop xD,5,25
4768,2022-12-21,16:34:49,radikalnyyy,active special bet?,6,25
576,2022-12-21,16:34:53,chrizz_tophernolan,Use the special bet,5,26
476,2022-12-21,16:34:55,ddrxxfante,when comeback pissed ?,5,26
4769,2022-12-21,16:35:15,pluggger,active special bet,5,26
4776,2022-12-21,16:35:50,zwi0pz,a potential slot,5,26
2811,2022-12-21,16:35:53,chrizz_tophernolan,it should pay,6,27
5332,2022-12-21,16:35:54,Ackooo1337,400,7,27
2304,2022-12-21,16:35:57,Ackooo1337,more,7,27
383,2022-12-21,16:36:00,peaceandlove444,wtf,3,27
1535,2022-12-21,16:36:01,radikalnyyy,Pog,8,27
1536,2022-12-21,16:36:07,Rozkii,Pog,8,27
1537,2022-12-21,16:36:08,ddrxxfante,pog,8,27
1538,2022-12-21,16:36:15,zwi0pz,Pog,8,27
3431,2022-12-21,16:36:17,ddrxxfante,good base game hit,7,27
2827,2022-12-21,16:36:42,chrizz_tophernolan,is not connecting anything xD,5,27
944,2022-12-21,16:37:20,radikalnyyy,so forge of gems next finally? xdd,6,28
65,2022-12-21,16:37:40,chrizz_tophernolan,you need more traps,6,28
1069,2022-12-21,16:38:00,chrizz_tophernolan,sadge,3,29
3951,2022-12-21,16:38:12,zwi0pz,F,1,29
5246,2022-12-21,16:38:29,zwi0pz,!followage,5,29
4247,2022-12-21,16:38:31,chrizz_tophernolan,cool,5,29
4268,2022-12-21,16:38:33,chrizz_tophernolan,come on,6,29
2019,2022-12-21,16:38:37,zwi0pz,NotLikeThis,3,29
4197,2022-12-21,16:38:51,chrizz_tophernolan,damn,5,30
4269,2022-12-21,16:38:59,chrizz_tophernolan,come on,5,30
3676,2022-12-21,16:39:00,zwi0pz,full screen camon,8,30
1539,2022-12-21,16:39:06,radikalnyyy,Pog,8,30
1540,2022-12-21,16:39:06,swaampyyy,Pog,8,30
2212,2022-12-21,16:39:06,MichalHahh,nice,8,30
1863,2022-12-21,16:39:07,ddrxxfante,one moreee,8,30
873,2022-12-21,16:39:09,radikalnyyy,sticky,7,30
2641,2022-12-21,16:39:10,Ackooo1337,left,5,30
2918,2022-12-21,16:39:10,chrizz_tophernolan,I really like the Stacked Wilds,6,30
141,2022-12-21,16:39:11,ddrxxfante,yessss bonus time enjoy,8,30
4438,2022-12-21,16:39:16,chrizz_tophernolan,But the first one is good too,7,30
1697,2022-12-21,16:39:20,SKuLLn1,[Emote Personalizado 3],3,30
871,2022-12-21,16:39:22,Rahoncz,sticky mystery,8,30
156,2022-12-21,16:39:29,adas334cz,yes sticky mystery,8,30
896,2022-12-21,16:39:29,ddrxxfante,st?cky mystery,5,30
2350,2022-12-21,16:39:30,gandalf_ii,middle one,6,30
4260,2022-12-21,16:39:37,ddrxxfante,come onnn bonusss,8,30
2088,2022-12-21,16:40:14,zwi0pz,noo,3,31
1541,2022-12-21,16:40:27,mechull11,Pog,8,31
2213,2022-12-21,16:40:28,chrizz_tophernolan,nice,8,31
2033,2022-12-21,16:40:37,karamokabamba,not bad,7,31
558,2022-12-21,16:40:38,szilibot,wadddup fake sweezo,5,31
770,2022-12-21,16:40:39,adas334cz,that was top symblol all the way,7,31
3056,2022-12-21,16:40:41,szilibot,how u doing,5,31
3677,2022-12-21,16:40:41,zwi0pz,full full,5,31
2034,2022-12-21,16:40:42,adas334cz,not bad,7,31
2530,2022-12-21,16:40:44,MichalHahh,looks good,7,31
4287,2022-12-21,16:40:47,karamokabamba,cmoon,6,31
2151,2022-12-21,16:40:49,ddrxxfante,niceee 6 spin leftt,5,31
2508,2022-12-21,16:40:50,chrizz_tophernolan,LUL,3,31
375,2022-12-21,16:40:57,chrizz_tophernolan,wtf?,7,32
403,2022-12-21,16:40:57,Ackooo1337,wow,6,32
3866,2022-12-21,16:40:58,michko,fr,5,32
5132,2022-12-21,16:40:59,MichalHahh,???,3,32
523,2022-12-21,16:41:00,karamokabamba,we have enough spins,7,32
4699,2022-12-21,16:41:01,karamokabamba,already,6,32
656,2022-12-21,16:41:03,swaampyyy,toxic fr,3,32
3678,2022-12-21,16:41:24,zwi0pz,full full,8,32
1542,2022-12-21,16:41:26,adas334cz,Pog,4,32
653,2022-12-21,16:41:33,veritas______,TriDance,8,32
1543,2022-12-21,16:41:33,roseingrotte1,Pog,8,32
1544,2022-12-21,16:41:42,michko,Pog,8,32
721,2022-12-21,16:41:43,adas334cz,this is good,7,32
1545,2022-12-21,16:41:45,chrizz_tophernolan,Pog,8,32
1992,2022-12-21,16:41:47,Rozkii,octo what HUH,4,32
1546,2022-12-21,16:41:48,ddrxxfante,Pog,8,32
1547,2022-12-21,16:41:49,adas334cz,Pog,8,32
1548,2022-12-21,16:41:57,MichalHahh,Pog,8,33
5260,2022-12-21,16:42:05,michko,!addpoints all 50,5,33
2066,2022-12-21,16:42:08,adas334cz,noooo if crab its ggs,3,33
657,2022-12-21,16:42:09,chrizz_tophernolan,top symbol as the octopuss should be great,7,33
4691,2022-12-21,16:42:09,radikalnyyy,amazing,8,33
3370,2022-12-21,16:42:10,Pata1G,Gool Gool,7,33
2586,2022-12-21,16:42:12,ddrxxfante,lets gooo 300 x hit,8,33
2605,2022-12-21,16:42:12,Ackooo1337,lets goo,8,33
448,2022-12-21,16:42:16,MiRROROROROROr,why are you sick,5,33
710,2022-12-21,16:42:17,ddrxxfante,this slot looks like iron bank,7,33
2582,2022-12-21,16:42:17,karamokabamba,lets goooo,8,33
2460,2022-12-21,16:42:18,MiRROROROROROr,man,5,33
775,2022-12-21,16:42:22,karamokabamba,that was,7,33
974,2022-12-21,16:42:24,karamokabamba,sick mate,7,33
2220,2022-12-21,16:42:26,chrizz_tophernolan,Next stream try the Sticky wilds,5,33
1987,2022-12-21,16:42:28,Ackooo1337,ofc we are,7,33
3896,2022-12-21,16:42:29,radikalnyyy,forge of gems pls,5,33
4156,2022-12-21,16:42:29,budme_ludia,did pissed really won 100k?,8,33
2183,2022-12-21,16:42:30,mechull11,nice mateee,8,33
